employee_id,previous_salary,new_salary,previous_role,new_role,previous_level,new_level,effective_date,change_type,change_reason
EMP0654,10749,12343,Sustainability Analyst,Sustainability Analyst,Junior,Junior,2024-02-11,Annual Raise,Project completion bonus integration
EMP0654,12343,17745,Sustainability Analyst,Sustainability Analyst,Junior,Mid,2024-03-31,Promotion,Cost of living adjustment
EMP0547,,24689,,Finance Director,,Mid,2009-05-31,Hire,Initial appointment
EMP0547,24689,26918,Finance Director,Finance Director,Mid,Mid,2015-07-13,Annual Raise,Market correction adjustment
EMP0547,26918,31873,Finance Director,Finance Director,Mid,Mid,2016-08-19,Annual Raise,Project completion bonus integration
EMP0547,31873,40034,Finance Director,Finance Director,Mid,Lead,2017-06-18,Promotion,Promoted following review
EMP0240,,10467,,Legal Analyst,,Mid,2024-01-07,Hire,Initial appointment
EMP0240,10467,16865,Legal Analyst,Legal Analyst,Mid,Junior,2024-10-31,Promotion,Promoted following review
EMP0828,,16677,,Senior Data Engineer,,Junior,2020-09-22,Hire,Initial appointment
EMP0828,16677,17531,Senior Data Engineer,Senior Data Engineer,Junior,Junior,2024-11-22,Annual Raise,Annual performance increase
EMP0828,17531,27307,Senior Data Engineer,Senior Data Engineer,Junior,Senior,2025-06-09,Promotion,Retention adjustment
EMP0618,,32372,,Vendor Manager,,Mid,2009-01-13,Hire,Initial appointment
EMP0618,32372,34531,Vendor Manager,Vendor Manager,Mid,Mid,2011-12-01,Annual Raise,Market correction adjustment
EMP0618,34531,53484,Vendor Manager,Vendor Manager,Mid,Director,2018-06-21,Promotion,Project completion bonus integration
EMP0931,,31987,,Platform Engineer,,Mid,2017-04-17,Hire,Initial appointment
EMP0931,31987,35204,Platform Engineer,Platform Engineer,Mid,Mid,2020-04-05,Annual Raise,Cost of living adjustment
EMP0931,35204,39073,Platform Engineer,Platform Engineer,Mid,Mid,2021-12-25,Annual Raise,Market correction adjustment
EMP0931,39073,45274,Platform Engineer,Platform Engineer,Mid,Lead,2022-06-24,Promotion,Promoted following review
EMP0975,,12829,,Financial Analyst,,Junior,2019-04-18,Hire,Initial appointment
EMP0975,12829,17781,Financial Analyst,Financial Analyst,Junior,Mid,2025-06-22,Promotion,Retention adjustment
EMP0531,,12957,,Vendor Manager,,Junior,2020-02-04,Hire,Initial appointment
EMP0531,12957,14740,Vendor Manager,Vendor Manager,Junior,Junior,2020-11-25,Annual Raise,Promoted following review
EMP0531,14740,20702,Vendor Manager,Vendor Manager,Junior,Mid,2023-04-04,Promotion,Promoted following review
EMP0570,,19444,,Senior Data Engineer,,Junior,2014-03-24,Hire,Initial appointment
EMP0570,19444,21732,Senior Data Engineer,Senior Data Engineer,Junior,Junior,2023-01-14,Annual Raise,Annual performance increase
EMP0570,21732,34375,Senior Data Engineer,Senior Data Engineer,Junior,Senior,2024-07-26,Promotion,Market correction adjustment
EMP0448,,12474,,Legal Analyst,,Junior,2023-04-14,Hire,Initial appointment
EMP0448,12474,14201,Legal Analyst,Legal Analyst,Junior,Junior,2023-10-16,Annual Raise,Retention adjustment
EMP0448,14201,15766,Legal Analyst,Legal Analyst,Junior,Junior,2023-12-05,Annual Raise,Cost of living adjustment
EMP0448,15766,17204,Legal Analyst,Legal Analyst,Junior,Mid,2024-11-07,Promotion,Project completion bonus integration
EMP0957,,13389,,Compliance Analyst,,Junior,2023-03-01,Hire,Initial appointment
EMP0957,13389,14887,Compliance Analyst,Compliance Analyst,Junior,Junior,2024-11-08,Annual Raise,Retention adjustment
EMP0957,14887,18120,Compliance Analyst,Compliance Analyst,Junior,Mid,2025-05-30,Promotion,Annual performance increase
EMP0777,,14390,,Senior Data Analyst,,Junior,2021-08-05,Hire,Initial appointment
EMP0777,14390,21208,Senior Data Analyst,Senior Data Analyst,Junior,Mid,2024-01-05,Promotion,Promoted following review
EMP0304,,8208,,Lead Data Engineer,,Mid,2024-03-22,Hire,Initial appointment
EMP0304,8208,9276,Lead Data Engineer,Lead Data Engineer,Mid,Mid,2024-09-27,Annual Raise,Cost of living adjustment
EMP0304,9276,10175,Lead Data Engineer,Lead Data Engineer,Mid,Mid,2025-02-25,Annual Raise,Retention adjustment
EMP0304,10175,13715,Lead Data Engineer,Lead Data Engineer,Mid,Junior,2025-05-09,Promotion,Project completion bonus integration
EMP0530,,16974,,Vendor Manager,,Junior,2018-08-06,Hire,Initial appointment
EMP0530,16974,19146,Vendor Manager,Vendor Manager,Junior,Junior,2019-05-17,Annual Raise,Retention adjustment
EMP0530,19146,22475,Vendor Manager,Vendor Manager,Junior,Junior,2019-12-31,Annual Raise,Cost of living adjustment
EMP0530,22475,30778,Vendor Manager,Vendor Manager,Junior,Senior,2021-01-17,Promotion,Retention adjustment
EMP0581,,22700,,BI Developer,,Junior,2017-03-25,Hire,Initial appointment
EMP0581,22700,24016,BI Developer,BI Developer,Junior,Junior,2018-05-14,Annual Raise,Retention adjustment
EMP0581,24016,31757,BI Developer,BI Developer,Junior,Senior,2020-09-21,Promotion,Annual performance increase
EMP0701,,10881,,Data Engineer,,Mid,2023-04-30,Hire,Initial appointment
EMP0701,10881,12539,Data Engineer,Data Engineer,Mid,Mid,2024-04-30,Annual Raise,Market correction adjustment
EMP0701,12539,14447,Data Engineer,Data Engineer,Mid,Mid,2024-07-20,Annual Raise,Market correction adjustment
EMP0701,14447,15262,Data Engineer,Data Engineer,Mid,Mid,2024-08-13,Annual Raise,Market correction adjustment
EMP0701,15262,15161,Data Engineer,Data Engineer,Mid,Junior,2025-03-18,Promotion,Annual performance increase
EMP0628,,10796,,Operations Analyst,,Junior,2022-07-02,Hire,Initial appointment
EMP0628,10796,11788,Operations Analyst,Operations Analyst,Junior,Junior,2023-05-07,Annual Raise,Annual performance increase
EMP0628,11788,12519,Operations Analyst,Operations Analyst,Junior,Junior,2025-01-18,Annual Raise,Project completion bonus integration
EMP0628,12519,17148,Operations Analyst,Operations Analyst,Junior,Mid,2025-05-24,Promotion,Market correction adjustment
EMP0420,,12832,,Vendor Manager,,Junior,2020-01-19,Hire,Initial appointment
EMP0420,12832,14112,Vendor Manager,Vendor Manager,Junior,Junior,2020-08-02,Annual Raise,Cost of living adjustment
EMP0420,14112,15784,Vendor Manager,Vendor Manager,Junior,Junior,2021-12-04,Annual Raise,Cost of living adjustment
EMP0420,15784,16585,Vendor Manager,Vendor Manager,Junior,Junior,2023-03-11,Annual Raise,Project completion bonus integration
EMP0420,16585,20665,Vendor Manager,Vendor Manager,Junior,Mid,2024-03-26,Promotion,Project completion bonus integration
EMP0285,,18657,,Brand Manager,,Junior,2014-03-19,Hire,Initial appointment
EMP0285,18657,26843,Brand Manager,Brand Manager,Junior,Senior,2021-01-23,Promotion,Promoted following review
EMP0462,,25960,,Compliance Analyst,,Mid,2015-06-13,Hire,Initial appointment
EMP0462,25960,30518,Compliance Analyst,Compliance Analyst,Mid,Mid,2015-12-31,Annual Raise,Project completion bonus integration
EMP0462,30518,32080,Compliance Analyst,Compliance Analyst,Mid,Mid,2017-12-01,Annual Raise,Project completion bonus integration
EMP0462,32080,46537,Compliance Analyst,Compliance Analyst,Mid,Lead,2021-08-28,Promotion,Retention adjustment
EMP0694,,14198,,Senior Data Engineer,,Junior,2022-05-21,Hire,Initial appointment
EMP0694,14198,19697,Senior Data Engineer,Senior Data Engineer,Junior,Mid,2023-04-08,Promotion,Market correction adjustment
EMP0152,,23485,,Legal Analyst,,Mid,2016-06-11,Hire,Initial appointment
EMP0152,23485,27450,Legal Analyst,Legal Analyst,Mid,Mid,2017-01-10,Annual Raise,Annual performance increase
EMP0152,27450,32006,Legal Analyst,Legal Analyst,Mid,Mid,2022-08-27,Annual Raise,Cost of living adjustment
EMP0152,32006,42067,Legal Analyst,Legal Analyst,Mid,Lead,2025-01-05,Promotion,Market correction adjustment
EMP0083,,20304,,Lead Data Engineer,,Junior,2022-07-22,Hire,Initial appointment
EMP0083,20304,29837,Lead Data Engineer,Lead Data Engineer,Junior,Senior,2023-06-10,Promotion,Promoted following review
EMP0565,,11889,,Legal Analyst,,Junior,2020-03-17,Hire,Initial appointment
EMP0565,11889,12632,Legal Analyst,Legal Analyst,Junior,Junior,2020-12-30,Annual Raise,Retention adjustment
EMP0565,12632,20969,Legal Analyst,Legal Analyst,Junior,Mid,2023-08-20,Promotion,Market correction adjustment
EMP0812,,28081,,Senior Data Engineer,,Mid,2016-03-18,Hire,Initial appointment
EMP0812,28081,30363,Senior Data Engineer,Senior Data Engineer,Mid,Mid,2018-01-06,Annual Raise,Annual performance increase
EMP0812,30363,48745,Senior Data Engineer,Senior Data Engineer,Mid,Lead,2024-07-24,Promotion,Project completion bonus integration
EMP0288,,16400,,Finance Director,,Junior,2023-03-10,Hire,Initial appointment
EMP0288,16400,22703,Finance Director,Finance Director,Junior,Mid,2024-02-28,Promotion,Market correction adjustment
EMP0919,,25108,,Vendor Manager,,Mid,2007-01-21,Hire,Initial appointment
EMP0919,25108,29287,Vendor Manager,Vendor Manager,Mid,Mid,2013-07-23,Annual Raise,Annual performance increase
EMP0919,29287,42309,Vendor Manager,Vendor Manager,Mid,Lead,2018-08-09,Promotion,Annual performance increase
EMP0266,,8277,,Data Engineer,,Mid,2024-01-15,Hire,Initial appointment
EMP0266,8277,14605,Data Engineer,Data Engineer,Mid,Junior,2025-02-26,Promotion,Cost of living adjustment
EMP0485,,12694,,Sustainability Analyst,,Junior,2024-09-04,Hire,Initial appointment
EMP0485,12694,13880,Sustainability Analyst,Sustainability Analyst,Junior,Junior,2025-05-24,Annual Raise,Promoted following review
EMP0485,13880,17274,Sustainability Analyst,Sustainability Analyst,Junior,Mid,2025-06-01,Promotion,Retention adjustment
EMP0142,,36220,,Account Manager,,Mid,2014-02-05,Hire,Initial appointment
EMP0142,36220,48941,Account Manager,Account Manager,Mid,Lead,2021-05-15,Promotion,Annual performance increase
EMP0255,,10651,,UX Designer,,Junior,2024-02-25,Hire,Initial appointment
EMP0255,10651,18660,UX Designer,UX Designer,Junior,Mid,2025-06-12,Promotion,Promoted following review
EMP0128,,15162,,UX Designer,,Junior,2016-03-19,Hire,Initial appointment
EMP0128,15162,17690,UX Designer,UX Designer,Junior,Junior,2022-10-09,Annual Raise,Cost of living adjustment
EMP0128,17690,25311,UX Designer,UX Designer,Junior,Senior,2023-08-22,Promotion,Market correction adjustment
EMP0486,,19576,,Vendor Manager,,Junior,2021-02-15,Hire,Initial appointment
EMP0486,19576,20832,Vendor Manager,Vendor Manager,Junior,Junior,2023-07-05,Annual Raise,Market correction adjustment
EMP0486,20832,23824,Vendor Manager,Vendor Manager,Junior,Junior,2024-05-23,Annual Raise,Project completion bonus integration
EMP0486,23824,32617,Vendor Manager,Vendor Manager,Junior,Senior,2024-06-19,Promotion,Cost of living adjustment
EMP0355,,14414,,UX Designer,,Junior,2023-01-06,Hire,Initial appointment
EMP0355,14414,16421,UX Designer,UX Designer,Junior,Junior,2024-05-18,Annual Raise,Annual performance increase
EMP0355,16421,20250,UX Designer,UX Designer,Junior,Mid,2025-03-16,Promotion,Cost of living adjustment
EMP0233,,37168,,Operations Analyst,,Mid,2012-02-20,Hire,Initial appointment
EMP0233,37168,44568,Operations Analyst,Operations Analyst,Mid,Mid,2016-01-14,Annual Raise,Promoted following review
EMP0233,44568,59891,Operations Analyst,Operations Analyst,Mid,Director,2021-11-09,Promotion,Cost of living adjustment
EMP0800,,27602,,Legal Analyst,,Mid,2019-01-07,Hire,Initial appointment
EMP0800,27602,43318,Legal Analyst,Legal Analyst,Mid,Lead,2020-07-21,Promotion,Retention adjustment
EMP0592,,23915,,Brand Manager,,Junior,2020-04-05,Hire,Initial appointment
EMP0592,23915,28220,Brand Manager,Brand Manager,Junior,Junior,2021-02-12,Annual Raise,Annual performance increase
EMP0592,28220,31746,Brand Manager,Brand Manager,Junior,Junior,2025-04-03,Annual Raise,Project completion bonus integration
EMP0592,31746,32426,Brand Manager,Brand Manager,Junior,Senior,2025-04-13,Promotion,Promoted following review
EMP0689,,14523,,Product Manager,,Junior,2023-09-05,Hire,Initial appointment
EMP0689,14523,16425,Product Manager,Product Manager,Junior,Junior,2024-04-06,Annual Raise,Annual performance increase
EMP0689,16425,19636,Product Manager,Product Manager,Junior,Mid,2024-10-05,Promotion,Market correction adjustment
EMP0284,,27125,,HR Analyst,,Mid,2013-07-25,Hire,Initial appointment
EMP0284,27125,39425,HR Analyst,HR Analyst,Mid,Lead,2024-03-02,Promotion,Retention adjustment
EMP0277,,16477,,Data Analyst,,Junior,2019-07-22,Hire,Initial appointment
EMP0277,16477,17441,Data Analyst,Data Analyst,Junior,Junior,2021-02-24,Annual Raise,Retention adjustment
EMP0277,17441,28891,Data Analyst,Data Analyst,Junior,Senior,2022-11-30,Promotion,Annual performance increase
EMP0898,,9019,,Legal Analyst,,Mid,2024-06-30,Hire,Initial appointment
EMP0898,9019,10220,Legal Analyst,Legal Analyst,Mid,Mid,2025-03-23,Annual Raise,Project completion bonus integration
EMP0898,10220,14566,Legal Analyst,Legal Analyst,Mid,Junior,2025-05-26,Promotion,Retention adjustment
EMP0109,,18233,,Sustainability Analyst,,Junior,2016-01-24,Hire,Initial appointment
EMP0109,18233,26180,Sustainability Analyst,Sustainability Analyst,Junior,Senior,2017-02-21,Promotion,Project completion bonus integration
EMP0788,,8806,,Operations Analyst,,Mid,2024-06-05,Hire,Initial appointment
EMP0788,8806,15115,Operations Analyst,Operations Analyst,Mid,Junior,2025-04-23,Promotion,Promoted following review
EMP0844,,21785,,Content Strategist,,Junior,2015-07-02,Hire,Initial appointment
EMP0844,21785,31783,Content Strategist,Content Strategist,Junior,Senior,2020-11-26,Promotion,Cost of living adjustment
EMP0222,,31607,,Data Engineer,,Mid,2015-07-18,Hire,Initial appointment
EMP0222,31607,45939,Data Engineer,Data Engineer,Mid,Lead,2022-10-10,Promotion,Market correction adjustment
EMP0933,,16896,,BI Specialist,,Junior,2014-09-25,Hire,Initial appointment
EMP0933,16896,18315,BI Specialist,BI Specialist,Junior,Junior,2020-10-18,Annual Raise,Annual performance increase
EMP0933,18315,29709,BI Specialist,BI Specialist,Junior,Senior,2022-12-05,Promotion,Project completion bonus integration
EMP0251,,26369,,Procurement Analyst,,Mid,2018-01-14,Hire,Initial appointment
EMP0251,26369,30683,Procurement Analyst,Procurement Analyst,Mid,Mid,2022-01-18,Annual Raise,Retention adjustment
EMP0251,30683,36729,Procurement Analyst,Procurement Analyst,Mid,Mid,2023-10-18,Annual Raise,Market correction adjustment
EMP0251,36729,40466,Procurement Analyst,Procurement Analyst,Mid,Lead,2024-01-06,Promotion,Project completion bonus integration
EMP0896,,24974,,Compliance Analyst,,Mid,2015-06-11,Hire,Initial appointment
EMP0896,24974,27014,Compliance Analyst,Compliance Analyst,Mid,Mid,2017-06-19,Annual Raise,Promoted following review
EMP0896,27014,29335,Compliance Analyst,Compliance Analyst,Mid,Mid,2023-06-05,Annual Raise,Market correction adjustment
EMP0896,29335,42280,Compliance Analyst,Compliance Analyst,Mid,Lead,2024-06-19,Promotion,Promoted following review
EMP0362,,6906,,Data Analyst,,Mid,2024-04-02,Hire,Initial appointment
EMP0362,6906,8101,Data Analyst,Data Analyst,Mid,Mid,2025-02-24,Annual Raise,Retention adjustment
EMP0362,8101,9356,Data Analyst,Data Analyst,Mid,Mid,2025-03-21,Annual Raise,Project completion bonus integration
EMP0362,9356,12458,Data Analyst,Data Analyst,Mid,Junior,2025-05-13,Promotion,Promoted following review
EMP0880,,11169,,Lead Data Engineer,,Mid,2022-05-31,Hire,Initial appointment
EMP0880,11169,11852,Lead Data Engineer,Lead Data Engineer,Mid,Mid,2022-12-10,Annual Raise,Market correction adjustment
EMP0880,11852,15133,Lead Data Engineer,Lead Data Engineer,Mid,Junior,2023-05-03,Promotion,Promoted following review
EMP0364,,13192,,Sales Analyst,,Junior,2022-02-05,Hire,Initial appointment
EMP0364,13192,22932,Sales Analyst,Sales Analyst,Junior,Mid,2023-07-22,Promotion,Cost of living adjustment
EMP0451,,20865,,Finance Director,,Junior,2018-03-10,Hire,Initial appointment
EMP0451,20865,24980,Finance Director,Finance Director,Junior,Junior,2018-11-15,Annual Raise,Promoted following review
EMP0451,24980,27385,Finance Director,Finance Director,Junior,Junior,2018-11-28,Annual Raise,Annual performance increase
EMP0451,27385,31082,Finance Director,Finance Director,Junior,Junior,2022-01-07,Annual Raise,Cost of living adjustment
EMP0451,31082,29731,Finance Director,Finance Director,Junior,Senior,2023-07-16,Promotion,Cost of living adjustment
EMP0918,,9978,,HR Analyst,,Mid,2024-05-03,Hire,Initial appointment
EMP0918,9978,10767,HR Analyst,HR Analyst,Mid,Mid,2025-01-06,Annual Raise,Market correction adjustment
EMP0918,10767,14359,HR Analyst,HR Analyst,Mid,Junior,2025-06-16,Promotion,Cost of living adjustment
EMP0227,,13168,,Brand Manager,,Junior,2022-05-17,Hire,Initial appointment
EMP0227,13168,22767,Brand Manager,Brand Manager,Junior,Mid,2023-11-07,Promotion,Project completion bonus integration
EMP0900,,48860,,Compliance Analyst,,Mid,2022-02-13,Hire,Initial appointment
EMP0900,48860,56773,Compliance Analyst,Compliance Analyst,Mid,Mid,2022-12-14,Annual Raise,Annual performance increase
EMP0900,56773,64294,Compliance Analyst,Compliance Analyst,Mid,Mid,2023-02-12,Annual Raise,Project completion bonus integration
EMP0900,64294,71212,Compliance Analyst,Compliance Analyst,Mid,Junior,2024-05-19,Promotion,Cost of living adjustment
EMP0796,,24580,,Vendor Manager,,Junior,2019-08-14,Hire,Initial appointment
EMP0796,24580,27326,Vendor Manager,Vendor Manager,Junior,Junior,2021-01-29,Annual Raise,Promoted following review
EMP0796,27326,33723,Vendor Manager,Vendor Manager,Junior,Senior,2024-12-22,Promotion,Promoted following review
EMP0943,,21551,,Senior Data Engineer,,Junior,2016-03-05,Hire,Initial appointment
EMP0943,21551,35327,Senior Data Engineer,Senior Data Engineer,Junior,Senior,2024-03-14,Promotion,Promoted following review
EMP0885,,11857,,UX Designer,,Junior,2021-03-29,Hire,Initial appointment
EMP0885,11857,18454,UX Designer,UX Designer,Junior,Mid,2024-07-17,Promotion,Retention adjustment
EMP0906,,13581,,Account Manager,,Junior,2024-08-01,Hire,Initial appointment
EMP0906,13581,15996,Account Manager,Account Manager,Junior,Junior,2025-03-24,Annual Raise,Project completion bonus integration
EMP0906,15996,22715,Account Manager,Account Manager,Junior,Mid,2025-03-29,Promotion,Annual performance increase
EMP0245,,15984,,Sustainability Analyst,,Junior,2015-05-20,Hire,Initial appointment
EMP0245,15984,18268,Sustainability Analyst,Sustainability Analyst,Junior,Junior,2018-10-10,Annual Raise,Project completion bonus integration
EMP0245,18268,27735,Sustainability Analyst,Sustainability Analyst,Junior,Senior,2019-09-08,Promotion,Retention adjustment
EMP0231,,16754,,Legal Analyst,,Junior,2023-05-18,Hire,Initial appointment
EMP0231,16754,19369,Legal Analyst,Legal Analyst,Junior,Junior,2024-03-13,Annual Raise,Retention adjustment
EMP0231,19369,22783,Legal Analyst,Legal Analyst,Junior,Junior,2024-03-17,Annual Raise,Promoted following review
EMP0231,22783,23757,Legal Analyst,Legal Analyst,Junior,Mid,2024-07-03,Promotion,Promoted following review
EMP0769,,9616,,Senior Data Engineer,,Mid,2024-03-30,Hire,Initial appointment
EMP0769,9616,11326,Senior Data Engineer,Senior Data Engineer,Mid,Mid,2025-03-16,Annual Raise,Project completion bonus integration
EMP0769,11326,15101,Senior Data Engineer,Senior Data Engineer,Mid,Junior,2025-05-04,Promotion,Retention adjustment
EMP0235,,15570,,Sales Analyst,,Junior,2021-08-05,Hire,Initial appointment
EMP0235,15570,18317,Sales Analyst,Sales Analyst,Junior,Junior,2022-11-09,Annual Raise,Promoted following review
EMP0235,18317,22698,Sales Analyst,Sales Analyst,Junior,Mid,2024-06-18,Promotion,Retention adjustment
EMP0563,,18813,,Data Analyst,,Junior,2019-07-26,Hire,Initial appointment
EMP0563,18813,26953,Data Analyst,Data Analyst,Junior,Senior,2025-06-28,Promotion,Cost of living adjustment
EMP0890,,29591,,BI Specialist,,Mid,2010-09-30,Hire,Initial appointment
